Symbol;reqID;Date;Open;High;Low;Close;Volume
FAMI;1;2022-11-02 13:30:00;0.605;0.605;0.5873;0.5873;5300
FAMI;1;2022-11-02 13:35:00;0.577;0.5843;0.577;0.5801;2200
FAMI;1;2022-11-02 13:40:00;0.5801;0.5801;0.5801;0.5801;0
FAMI;1;2022-11-02 13:45:00;0.5653;0.566;0.5653;0.566;1100
FAMI;1;2022-11-02 13:50:00;0.566;0.566;0.566;0.566;0
FAMI;1;2022-11-02 13:55:00;0.5742;0.5887;0.5742;0.5887;700
FAMI;1;2022-11-02 14:00:00;0.5887;0.5887;0.5887;0.5887;0
FAMI;1;2022-11-02 14:05:00;0.5857;0.5857;0.5857;0.5857;200
FAMI;1;2022-11-02 14:10:00;0.5683;0.5769;0.5683;0.5769;3200
FAMI;1;2022-11-02 14:15:00;0.5681;0.5681;0.5681;0.5681;100
FAMI;1;2022-11-02 14:20:00;0.5681;0.5681;0.5681;0.5681;0
FAMI;1;2022-11-02 14:25:00;0.5681;0.5681;0.5681;0.5681;0
FAMI;1;2022-11-02 14:30:00;0.5681;0.5681;0.5681;0.5681;0
FAMI;1;2022-11-02 14:35:00;0.5768;0.5768;0.5768;0.5768;1600
FAMI;1;2022-11-02 14:40:00;0.5729;0.5729;0.5699;0.5699;400
FAMI;1;2022-11-02 14:45:00;0.5768;0.5768;0.5768;0.5768;100
FAMI;1;2022-11-02 14:50:00;0.5768;0.5768;0.5768;0.5768;0
FAMI;1;2022-11-02 14:55:00;0.5767;0.5767;0.5767;0.5767;1200
FAMI;1;2022-11-02 15:00:00;0.5767;0.5767;0.5767;0.5767;0
FAMI;1;2022-11-02 15:05:00;0.5767;0.5767;0.5767;0.5767;0
FAMI;1;2022-11-02 15:10:00;0.5767;0.5767;0.5767;0.5767;0
FAMI;1;2022-11-02 15:15:00;0.5767;0.5767;0.5767;0.5767;0
FAMI;1;2022-11-02 15:20:00;0.5727;0.5727;0.5699;0.5699;900
FAMI;1;2022-11-02 15:25:00;0.5699;0.5699;0.5699;0.5699;0
FAMI;1;2022-11-02 15:30:00;0.5708;0.5708;0.5708;0.5708;100
FAMI;1;2022-11-02 15:35:00;0.5767;0.5886;0.5734;0.58;4300
FAMI;1;2022-11-02 15:40:00;0.58;0.5806;0.5701;0.5701;10400
FAMI;1;2022-11-02 15:45:00;0.5701;0.5701;0.5701;0.5701;0
FAMI;1;2022-11-02 15:50:00;0.5701;0.5701;0.5701;0.5701;0
FAMI;1;2022-11-02 15:55:00;0.57;0.5701;0.57;0.57;11900
FAMI;1;2022-11-02 16:00:00;0.57;0.57;0.57;0.57;0
FAMI;1;2022-11-02 16:05:00;0.57;0.57;0.57;0.57;0
FAMI;1;2022-11-02 16:10:00;0.57;0.57;0.57;0.57;0
FAMI;1;2022-11-02 16:15:00;0.57;0.57;0.57;0.57;0
FAMI;1;2022-11-02 16:20:00;0.57;0.57;0.57;0.57;0
FAMI;1;2022-11-02 16:25:00;0.57;0.57;0.57;0.57;0
FAMI;1;2022-11-02 16:30:00;0.586;0.586;0.586;0.586;100
FAMI;1;2022-11-02 16:35:00;0.5691;0.5691;0.5691;0.5691;100
FAMI;1;2022-11-02 16:40:00;0.5691;0.5691;0.5691;0.5691;0
FAMI;1;2022-11-02 16:45:00;0.5691;0.5691;0.5691;0.5691;0
FAMI;1;2022-11-02 16:50:00;0.5783;0.5783;0.5783;0.5783;700
FAMI;1;2022-11-02 16:55:00;0.5692;0.5692;0.5691;0.5692;6000
FAMI;1;2022-11-02 17:00:00;0.5692;0.5692;0.5692;0.5692;0
FAMI;1;2022-11-02 17:05:00;0.5692;0.5692;0.5692;0.5692;1600
FAMI;1;2022-11-02 17:10:00;0.5692;0.5692;0.5692;0.5692;0
FAMI;1;2022-11-02 17:15:00;0.5784;0.5784;0.5692;0.5693;4100
FAMI;1;2022-11-02 17:20:00;0.5692;0.5874;0.5692;0.585;9400
FAMI;1;2022-11-02 17:25:00;0.5693;0.5693;0.5693;0.5693;300
FAMI;1;2022-11-02 17:30:00;0.5693;0.5693;0.5693;0.5693;0
FAMI;1;2022-11-02 17:35:00;0.579;0.579;0.579;0.579;1000
FAMI;1;2022-11-02 17:40:00;0.579;0.579;0.579;0.579;0
FAMI;1;2022-11-02 17:45:00;0.5838;0.5838;0.5838;0.5838;700
FAMI;1;2022-11-02 17:50:00;0.5838;0.5838;0.5838;0.5838;0
FAMI;1;2022-11-02 17:55:00;0.5835;0.5835;0.5835;0.5835;100
FAMI;1;2022-11-02 18:00:00;0.5834;0.5836;0.5834;0.5836;3300
FAMI;1;2022-11-02 18:05:00;0.585;0.5888;0.585;0.5887;1400
FAMI;1;2022-11-02 18:10:00;0.5839;0.5839;0.5839;0.5839;100
FAMI;1;2022-11-02 18:15:00;0.5801;0.5801;0.5801;0.5801;400
FAMI;1;2022-11-02 18:20:00;0.58;0.585;0.58;0.5849;1600
FAMI;1;2022-11-02 18:25:00;0.5849;0.585;0.5849;0.585;600
FAMI;1;2022-11-02 18:30:00;0.585;0.5899;0.585;0.5874;2300
FAMI;1;2022-11-02 18:35:00;0.585;0.585;0.5725;0.5725;300
FAMI;1;2022-11-02 18:40:00;0.5899;0.5899;0.5899;0.5899;200
FAMI;1;2022-11-02 18:45:00;0.5898;0.5899;0.5815;0.5815;600
FAMI;1;2022-11-02 18:50:00;0.5815;0.5815;0.5815;0.5815;0
FAMI;1;2022-11-02 18:55:00;0.5815;0.5815;0.5815;0.5815;0
FAMI;1;2022-11-02 19:00:00;0.5815;0.5815;0.58;0.58;600
FAMI;1;2022-11-02 19:05:00;0.58;0.58;0.58;0.58;0
FAMI;1;2022-11-02 19:10:00;0.5802;0.5802;0.5802;0.5802;200
FAMI;1;2022-11-02 19:15:00;0.58;0.58;0.58;0.58;100
FAMI;1;2022-11-02 19:20:00;0.58;0.58;0.58;0.58;0
FAMI;1;2022-11-02 19:25:00;0.58;0.58;0.57;0.57;2600
FAMI;1;2022-11-02 19:30:00;0.5856;0.5857;0.5856;0.5857;500
FAMI;1;2022-11-02 19:35:00;0.5857;0.5857;0.5828;0.5828;2000
FAMI;1;2022-11-02 19:40:00;0.5857;0.5857;0.58;0.5801;1200
FAMI;1;2022-11-02 19:45:00;0.57;0.5797;0.57;0.5701;3400
FAMI;1;2022-11-02 19:50:00;0.5748;0.5748;0.5748;0.5748;100
FAMI;1;2022-11-02 19:55:00;0.5797;0.585;0.5701;0.585;8800
